SKU,Product ID,Product Title,Product Status,Variant ID,Variant Title,Price,Inventory Quantity
12181,3966621253676,"""Amortentia"" Women's T-Shirt (from Harry Potter and the Half-Blood Prince™ in Concert)",active,30294619226156,Small,19.99,107
12182,3966621253676,"""Amortentia"" Women's T-Shirt (from Harry Potter and the Half-Blood Prince™ in Concert)",active,30294619258924,Medium,19.99,102
12183,3966621253676,"""Amortentia"" Women's T-Shirt (from Harry Potter and the Half-Blood Prince™ in Concert)",active,30294619291692,Large,19.99,87
12184,3966621253676,"""Amortentia"" Women's T-Shirt (from Harry Potter and the Half-Blood Prince™ in Concert)",active,30294619324460,XL,19.99,33
12185,3966621253676,"""Amortentia"" Women's T-Shirt (from Harry Potter and the Half-Blood Prince™ in Concert)",active,30294619357228,XXL,19.99,5
12018,1011200393260,"""Dobby is a free elf"" Zip Hoodie (from Harry Potter and the Chamber of Secrets™ in Concert)",active,9810510741548,Youth Medium,19.99,138
12019,1011200393260,"""Dobby is a free elf"" Zip Hoodie (from Harry Potter and the Chamber of Secrets™ in Concert)",active,29547648450604,Youth Large,19.99,0
12011,1011200393260,"""Dobby is a free elf"" Zip Hoodie (from Harry Potter and the Chamber of Secrets™ in Concert)",active,29547648483372,Small,19.99,137
12012,1011200393260,"""Dobby is a free elf"" Zip Hoodie (from Harry Potter and the Chamber of Secrets™ in Concert)",active,29547648516140,Medium,19.99,21
12013,1011200393260,"""Dobby is a free elf"" Zip Hoodie (from Harry Potter and the Chamber of Secrets™ in Concert)",active,29547648548908,Large,19.99,245
12014,1011200393260,"""Dobby is a free elf"" Zip Hoodie (from Harry Potter and the Chamber of Secrets™ in Concert)",active,29547648581676,XL,19.99,0
12015,1011200393260,"""Dobby is a free elf"" Zip Hoodie (from Harry Potter and the Chamber of Secrets™ in Concert)",active,29547648614444,XXL,19.99,0
12078,1016232837164,"""Eternal Glory"" T-Shirt (from Harry Potter and the Goblet of Fire™ in Concert)",active,9833417637932,Youth Medium,19.99,7
12071,1016232837164,"""Eternal Glory"" T-Shirt (from Harry Potter and the Goblet of Fire™ in Concert)",active,29547643994156,Small,19.99,69
12072,1016232837164,"""Eternal Glory"" T-Shirt (from Harry Potter and the Goblet of Fire™ in Concert)",active,29547644026924,Medium,19.99,128
12073,1016232837164,"""Eternal Glory"" T-Shirt (from Harry Potter and the Goblet of Fire™ in Concert)",active,29547644059692,Large,19.99,32
12074,1016232837164,"""Eternal Glory"" T-Shirt (from Harry Potter and the Goblet of Fire™ in Concert)",active,29547644092460,XL,19.99,16
12075,1016232837164,"""Eternal Glory"" T-Shirt (from Harry Potter and the Goblet of Fire™ in Concert)",active,39997925818414,XXL,19.99,0
